"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Bigge, Hunter",685801,51.4,,,41.1,,2.2,5.3,,,
"Whitlock, Garrett",676477,,49.2,,33.2,17.6,,,,,
"Bido, Osvaldo",674370,29.0,20.5,,24.3,6.3,,,,19.9,
"Giolito, Lucas",608337,37.8,,,18.1,37.1,7.0,,,,
"Samaniego, Tyler",701719,26.8,40.8,7.6,,6.1,,,,18.8,
"Leasure, Jordan",673929,52.4,3.5,,41.2,,,2.9,,,
"Bird, Jake",656234,13.4,31.6,,,,14.7,,,40.3,
"Collyer, Gavin",686560,19.5,19.2,40.3,,,,,,21.1,
"Shugart, Chase",663767,11.9,28.8,28.5,,8.0,,,,22.8,
"Funderburk, Kody",681892,,34.0,30.7,11.7,5.2,,,,18.4,
"Nance, Tommy",667297,,29.9,,33.8,,36.4,,,,
"Cano, Yennier",666974,5.9,45.9,,18.6,,,29.6,,,
"Treinen, Blake",595014,9.8,37.4,7.9,,,,,,44.9,
"Povich, Cade",700249,43.1,9.2,,16.4,8.6,22.7,,,,
"Iglesias, Raisel",628452,44.9,14.9,,3.3,37.0,,,,,
"Armstrong, Shawn",542888,34.0,16.2,20.8,,,,,,29.0,
"Morgan, Eli",669212,36.8,,,29.8,33.4,,,,,
"Akin, Keegan",669211,49.3,,,24.8,25.8,,,,,
"Richards, Trevor",670950,62.6,,,6.0,31.5,,,,,
"Fermin, José",820862,12.3,21.9,,57.8,7.6,,0.3,,,
"Franco, Jose",683742,46.7,,,41.3,12.0,,,,,
"Alexander, Jason",669920,23.1,23.4,7.4,5.0,35.1,,,,6.0,
"Wolfram, Grant",664991,16.4,42.8,,9.0,,15.4,,,16.4,
"Chapman, Aroldis",547973,35.4,39.1,,16.8,,,8.8,,,
"Davis, Tyler",699823,60.3,,,34.7,,,5.1,,,
"Walker, Ryan",676254,0.7,68.8,,30.5,,,,,,
"Beeter, Clayton",690925,51.5,,,48.5,,,,,,
"Cruz, Steven",674444,57.5,,26.2,16.3,,,,,,
"Morgan, David",688158,26.3,32.1,,12.6,,29.0,,,,
"Enns, Dietrich",608650,55.0,,10.0,,20.3,5.5,,,9.3,
"Roberts, Ethan",681799,,13.1,45.7,,,,,,41.2,
"Herget, Jimmy",623474,10.1,22.6,,28.9,7.7,,,,30.7,
"Smith, Burch",572143,43.6,0.7,20.9,,9.4,25.4,,,,
"Hurt, Kyle",669165,57.2,,,7.7,35.1,,,,,
"Anderson, Shaun",641312,26.8,8.1,,24.3,28.9,,,,12.0,
"Bummer, Aaron",607481,8.5,38.5,11.7,,,23.0,,,18.4,
"Pivetta, Nick",601713,57.6,1.4,10.2,0.7,,17.7,,,12.4,
"Kelly, Zack",677161,13.8,17.0,43.8,,3.5,,,,21.9,
"Thielbar, Caleb",573204,47.0,,,21.7,,22.1,,,9.3,
"Ribalta, Orlando",687377,29.6,20.4,,37.5,12.5,,,,,
"Gaddis, Hunter",683769,26.9,,,52.3,18.3,,2.5,,,
"Speier, Gabe",642100,36.5,31.8,,31.4,0.4,,,,,
"Crow, Coleman",689441,19.2,15.9,35.5,,,21.0,,,8.3,
"Matsui, Yuki",673513,37.9,3.3,,25.0,,,26.8,,7.0,
"Wilcox, Cole",677961,24.4,20.4,,31.1,7.0,,,,17.0,
"Hoppe, Alex",695380,32.0,17.1,,49.1,1.9,,,,,
"Jump, Gage",695611,49.4,,,23.8,9.7,8.6,,,8.6,
"Brogdon, Connor",641401,48.3,,10.1,,39.0,2.6,,,,
"García, Luis",472610,1.9,46.8,,,,,31.3,,20.0,
"Jansen, Kenley",445276,,10.2,79.5,10.2,,,,,,
"Mantiply, Joe",573009,,45.8,,,26.5,27.7,,,,
"Boyle, Joe",671212,20.9,19.4,,34.2,,,15.2,,10.3,
"Melton, Troy",675512,42.0,6.9,11.8,26.0,,5.3,8.0,,,
"Madden, Ty",680744,34.4,16.0,16.8,19.1,,1.9,11.8,,,
"Castaño, Blas",680604,8.0,40.6,16.5,,10.3,,,,24.5,
"Eisert, Brandon",685126,40.4,6.5,,27.7,25.4,,,,,
"Kimbrel, Craig",518886,74.2,,,,0.4,10.0,,,15.4,
"Hart, Kyle",606996,6.2,23.2,,17.4,,,22.0,,31.3,
"Halvorsen, Seth",678020,57.9,,,31.9,,,10.2,,,
"Gasser, Robert",688107,19.5,29.9,20.3,,7.2,,,,23.1,
"Palencia, Daniel",694037,64.9,2.8,,25.1,,,7.2,,,
"Brash, Matt",666374,6.6,20.5,,59.8,13.1,,,,,
"Dotel, Wilber",696062,50.6,,17.2,19.7,12.6,,,,,
"Rodríguez, Elmer",695684,22.3,41.6,0.4,14.3,10.9,10.5,,,,
"Henry, Cole",669371,49.2,7.6,7.1,,,0.4,,,35.7,
"Thornton, Trent",663423,33.5,11.4,23.7,,,15.3,,,16.1,
"Cole, Gerrit",543037,46.2,9.8,,15.8,16.2,12.0,,,,
"Barco, Hunter",682995,35.3,25.9,,17.7,6.9,,5.2,,9.1,
"Cleavinger, Garrett",664076,14.8,29.3,,39.3,,,,,16.6,
"Pagán, Emilio",641941,59.0,,20.5,,,,20.5,,,
"Hoffmann, Andrew",694851,51.5,,,20.5,27.9,,,,,
"Rojas, Kendry",696070,41.4,11.9,,28.2,18.5,,,,,
"Alvarado, Elvis",665660,57.5,21.7,,18.1,,,2.7,,,
"Smith, Shane",681343,32.9,14.2,,11.1,18.2,23.6,,,,
"Sandlin, David",689818,33.8,9.5,14.9,,5.0,30.2,,,6.8,
"Dobbins, Hunter",690928,33.0,13.8,,18.8,,10.6,11.0,,12.8,
"Gibson, Trey",694346,13.8,27.6,20.7,19.4,,18.4,,,,
"Zerpa, Angel",672582,5.1,68.1,,20.8,6.0,,,,,
"Morales, Luis",806960,40.6,17.5,,19.3,12.3,,,,10.4,
"Kittredge, Andrew",552640,11.8,37.7,,50.5,,,,,,
"Coulombe, Danny",543056,3.8,34.0,30.6,,,9.6,,,22.0,
"Gordon, Colton",676467,36.1,13.4,,5.4,12.4,3.0,,,29.7,
"Adams, Travis",701519,27.9,6.0,24.4,14.9,26.9,,,,,
"Slaten, Justin",686580,30.0,1.5,50.5,,,2.5,,,15.5,
"Bidois, Brandan",684049,57.1,,,39.4,3.5,,,,,
"Granillo, Andre",701552,24.7,13.1,,59.6,2.5,,,,,
"Nicolas, Kyle",693312,48.5,2.0,,33.3,,16.2,,,,
"Mey, Luis",682825,1.5,58.7,,39.8,,,,,,
"Thompson, Keegan",624522,28.7,23.1,24.6,,6.7,8.2,,,8.7,
"Murray, Jayden",681151,44.3,16.0,7.2,,6.7,,1.0,,24.7,
"Antone, Tejay",622088,6.7,3.6,20.2,3.6,,16.6,,,49.2,
"Macko, Adam",671936,34.4,,,44.3,11.5,9.9,,,,
"Romano, Jordan",605447,49.0,,,46.4,,,4.7,,,
"Helsley, Ryan",664854,50.5,,,35.4,,2.6,11.5,,,
"Aldegheri, Sam",691951,39.3,,17.3,6.3,33.0,4.2,,,,
"Foster, Cameron",671382,58.2,,20.1,21.7,,,,,,
"Tong, Jonah",804636,45.5,,20.3,,27.8,6.4,,,,
"Rodriguez, Carlos",692230,26.9,,26.9,,36.8,1.1,,,8.2,
"Tidwell, Blade",694918,41.8,7.7,,6.6,2.7,0.5,,,40.7,
"Sands, Cole",663485,39.2,7.7,24.3,,,13.3,15.5,,,
"Dodd, Dylan",689266,,56.4,34.3,9.4,,,,,,
"Falter, Bailey",663559,55.6,2.2,,22.8,,9.4,10.0,,,
"Brown, Hunter",686613,33.3,30.6,,7.2,6.7,22.2,,,,
"Gibson, Cade",806188,0.6,21.7,,8.9,6.7,27.2,,,35.0,
"Roa, Christian",685005,25.3,32.0,,34.8,7.9,,,,,
"Allard, Kolby",663465,33.9,11.3,22.6,,18.6,13.6,,,,
"Javier, Cristian",664299,47.7,6.8,,,15.3,5.1,,,25.0,
"Hentges, Sam",656529,27.3,29.0,,29.5,,14.2,,,,
"Kremer, Dean",665152,22.9,11.4,5.7,4.0,,13.7,42.3,,,
"Hanifee, Brenan",669724,6.3,61.7,,21.7,10.3,,,,,
"Laweryson, Cody",689520,69.4,,17.9,,12.7,,,,,
"Rodríguez, Yariel",684320,20.9,15.1,,39.5,,,24.4,,,
"Bennett, Jake",687562,26.9,33.9,4.7,,25.1,9.4,,,,
"Sims, Lucas",608371,45.6,0.6,,24.0,,7.0,2.3,,20.5,
"Johnson, Ryan",696270,,22.9,34.1,,,,28.2,,14.7,
"Black, Mason",696131,18.8,24.7,8.2,7.6,6.5,,,,34.1,
"Vanasco, Ricky",676568,51.2,,,,25.9,22.9,,,,
"Bellozo, Valente",678368,21.2,11.2,23.5,,18.2,4.7,,,21.2,
"Peguero, Joel",666711,43.2,33.7,,23.1,,,,,,
"Martin, Chris",455119,25.4,11.8,44.4,,,,11.8,,6.5,
"Yates, Kirby",489446,61.9,,,,,,35.1,,3.0,
"Kent, Zak",687849,42.5,1.2,,42.5,,13.8,,,,
"Fernandez, Ryan",681676,42.5,,3.0,44.3,10.2,,,,,
"Martin, Trevor",694680,44.0,6.0,24.1,,,4.2,21.7,,,
"Murphy, Chris",669684,27.4,10.4,,31.7,7.3,16.5,,,6.7,
"Backhus, Kyle",679775,,57.1,,,8.7,,,,34.2,
"Manoah, Alek",666201,11.8,34.8,,14.3,39.1,,,,,
"Sandlin, Nick",680704,13.4,8.9,,54.1,,,23.6,,,
"Garcia, Brandyn",805299,,63.5,,12.8,,,,,23.7,
"Garcia, Robert",676395,44.4,,,23.5,32.0,,,,,
"Hernández, Jonathan",642546,6.6,49.7,,42.4,1.3,,,,,
"Jones, Jared",683003,39.1,,,31.1,17.2,12.6,,,,
"Payamps, Joel",606303,40.4,10.6,0.7,,2.6,,,,45.7,
"Waldichuk, Ken",686610,32.9,,18.1,,1.3,40.9,,,6.7,
"Klassen, George",691946,38.6,11.0,,14.5,24.8,11.0,,,,
"Heuer, Codi",676051,39.7,0.7,,34.8,24.8,,,,,
"Maxwell, Zach",687209,55.5,,18.2,,,,,,26.3,
"Petty, Chase",695534,13.9,27.0,,19.0,24.8,,,,15.3,
"Díaz, Edwin",621242,53.0,,,47.0,,,,,,
"Dion, Will",702021,39.4,9.1,14.4,,18.2,18.9,,,,
"Urquidy, José",664353,24.4,19.8,,,31.3,9.9,,,14.5,
"Pop, Zach",647315,,62.3,11.5,26.2,,,,,,
"Pearson, Nate",663878,44.2,3.9,,48.1,0.8,3.1,,,,
"Wicks, Jordan",696136,40.3,9.3,,15.5,28.7,6.2,,,,
"Garrett, Braxton",666129,21.7,28.7,,16.3,13.2,,,,20.2,
"Beck, Tristan",663941,34.4,,,21.6,,4.8,,,39.2,
"Anderson, Jack",681252,36.3,,,21.0,,8.1,22.6,,12.1,
"Davila, Nick",689546,15.6,19.7,,64.8,,,,,,
"Santa, Alimber",695001,27.0,,,36.9,,,,,36.1,
"Sanders, Cam",676742,47.1,4.1,,30.6,18.2,,,,,
"Kelly, Michael",547184,22.3,9.1,,26.4,0.8,,,,41.3,
"Pushard, Matt",690155,45.0,0.8,,21.7,7.5,12.5,,,12.5,
"Voth, Austin",608723,22.0,13.6,22.9,,,20.3,3.4,,17.8,
"Martin, Riley",702303,55.1,,,15.3,,29.7,,,,
"France, J.P.",641585,22.2,5.1,23.1,,15.4,28.2,,,6.0,
"Baumler, Carter",691945,33.3,6.8,,12.0,,47.9,,,,
"Acton, Garrett",670183,54.8,,,45.2,,,,,,
"Paredes, Mike",702474,46.1,,16.5,,22.6,,,,14.8,
"Shuster, Jared",694363,38.6,8.8,13.2,22.8,16.7,,,,,
"Muñoz, Roddery",682610,25.9,11.6,17.0,41.1,4.5,,,,,
"Lucchesi, Joey",664192,14.4,51.4,,,,27.0,7.2,,,
"Martin, Corbin",656686,50.5,3.6,,2.7,7.2,24.3,,,11.7,
"Fitzpatrick, Brian",702153,21.1,18.3,,18.3,33.0,,,,9.2,
"Barnett, Mason",686930,35.5,,,25.2,3.7,13.1,,,22.4,
"Curvelo, Luis",681168,13.1,33.6,,32.7,,,20.6,,,
"Guerrero, Tyron",594027,0.9,75.5,,17.9,5.7,,,,,
"Ferguson, Caleb",657571,19.0,34.0,30.0,,,,,,,17.0
"Casparius, Ben",676508,41.4,,13.1,,2.0,16.2,,,27.3,
"Edwards Jr., Carl",605218,53.5,,,,16.2,30.3,,,,
"Leibrandt, Brandon",605335,23.2,14.1,,22.2,27.3,4.0,,,9.1,
"Ekness, Josh",694795,48.0,11.2,,,,13.3,,,27.6,
"De los Santos, Yerry",660787,4.1,66.3,,5.1,24.5,,,,,
"Roycroft, Chris",688297,32.0,37.1,30.9,,,,,,,
"Little, Brendon",663893,7.5,44.1,3.2,6.5,,38.7,,,,
"Ross, Joe",605452,14.1,37.0,,19.6,,,29.3,,,
"Horton, Cade",690990,50.0,7.6,,,20.7,9.8,,,12.0,
"Morris, Kade",695034,12.2,40.0,,17.8,5.6,6.7,,,17.8,
"Gonzalez, Domingo",682445,37.8,24.4,,36.7,1.1,,,,,
"Johnson, Seth",686751,44.4,6.7,,33.3,,11.1,4.4,,,
"Barnes, Charlie",656212,43.7,18.4,,14.9,18.4,,,,4.6,
"Carrasco, Carlos",471911,12.6,26.4,14.9,14.9,31.0,,,,,
"Santos, Gregory",666619,12.8,33.7,,51.2,2.3,,,,,
"Snelling, Robby",702281,32.6,8.1,,9.3,16.3,33.7,,,,
"Cornelio, Riley",683000,60.5,,,39.5,,,,,,
"Gusto, Ryan",687473,36.5,12.9,17.6,12.9,11.8,3.5,,,4.7,
"Minter, A.J.",621345,37.6,,54.1,,8.2,,,,,
"Spence, Mitch",687765,,21.4,35.7,19.0,10.7,13.1,,,,
"Allen, Logan",671106,18.1,33.7,25.3,,3.6,,,,19.3,
"Hoffman, Nolan",676510,34.1,14.6,34.1,,3.7,,,,13.4,
"Klein, John",804619,50.0,,11.0,,28.0,7.3,,,3.7,
"Mills, Wyatt",670090,18.3,36.6,,29.3,,,,,15.9,
"Verlander, Justin",434378,42.5,,,27.5,10.0,17.5,,,2.5,
"Thornton, Zach",804267,27.5,10.0,50.0,,1.3,,,,11.3,
"Cerantola, Eric",672021,32.9,,21.5,45.6,,,,,,
"Fleming, Josh",676596,,37.7,5.2,,23.4,33.8,,,,
"Snell, Blake",605483,41.6,,,19.5,18.2,20.8,,,,
"Harvey, Hunter",640451,50.0,,,13.2,,3.9,32.9,,,
"Schweitzer, Tyler",805326,30.3,3.9,,40.8,11.8,,,,13.2,
"Gilbert, Tyler",656457,9.5,32.4,21.6,,,,1.4,,35.1,
"Eflin, Zach",621107,9.5,18.9,14.9,,25.7,21.6,,,9.5,
"Sousa, Bennett",656986,17.8,4.1,5.5,72.6,,,,,,
"Oviedo, Johan",670912,34.7,19.4,1.4,19.4,,25.0,,,,
"Abner, Philip",691769,69.4,1.4,,11.1,2.8,15.3,,,,
"Fernández, Julian",642759,59.2,,,,40.8,,,,,
"Gervase, Paul",801434,50.7,,12.7,35.2,1.4,,,,,
"Walker, Josh",677020,20.3,23.2,,56.5,,,,,,
"Dallas, Chad",689149,7.4,,35.3,,,29.4,,,27.9,
"Estrada, Lazaro",681751,57.6,,,31.8,,7.6,3.0,,,
"Paez, Jedixson",699151,35.4,13.8,16.9,,23.1,10.8,,,,
"Raquet, Nick",675919,,26.6,3.1,28.1,,,,,42.2,
"Heasley, Jonathan",669169,39.1,,,32.8,18.8,9.4,,,,
"Fulton, Dax",690978,26.6,9.4,,10.9,15.6,37.5,,,,
"Buttó, José",676130,25.4,39.7,,20.6,12.7,1.6,,,,
"Trivino, Lou",642152,3.2,41.9,30.6,,21.0,,,,3.2,
"Ramos, Wilkin",678576,21.3,60.7,3.3,,,14.8,,,,
"Kempner, William",687531,54.1,8.2,11.5,,,,,,26.2,
"Chivilli, Angel",683409,26.7,,,26.7,46.7,,,,,
"Sullivan, Brett",664954,,,,64.4,33.9,1.7,,,,
"Mautz, Brycen",802408,45.8,16.9,,15.3,,22.0,,,,
"Solesky, Chase",686678,10.3,37.9,15.5,,10.3,,,,25.9,
"Gerber, Joey",680702,63.2,,31.6,5.3,,,,,,
"Lee, Chase",695445,19.6,39.3,,,5.4,,,,35.7,
"Eder, Jake",671109,60.7,,,33.9,1.8,3.6,,,,
"Brieske, Beau",689225,52.7,16.4,,20.0,10.9,,,,,
"Wantz, Andrew",681806,38.9,24.1,20.4,,3.7,,,,13.0,
"Yoho, Craig",684974,41.5,,15.1,,41.5,,,,1.9,
"Pintaro, Jonathan",702752,3.8,17.3,61.5,,13.5,,,,3.8,
"Beck, Brendan",694341,55.8,1.9,,34.6,,5.8,1.9,,,
"Aleman, Franco",680916,76.9,,,23.1,,,,,,
"Sommers, Drew",805427,28.8,42.3,,26.9,1.9,,,,,
"McCambley, Zach",685112,28.6,,51.0,,,,,,20.4,
"Muñoz, Rolddy",691548,6.1,30.6,,57.1,6.1,,,,,
"Hollowell, Gavin",668970,53.1,10.2,,,2.0,,,,34.7,
"Shook, TJ",669298,45.8,,14.6,,18.8,,,,20.8,
"Booser, Cam",592155,55.3,,38.3,,,,,,6.4,
"Juenger, Hayden",696522,44.7,,,38.3,17.0,,,,,
"Ponce, Cody",664074,25.5,,,36.2,25.5,12.8,,,,
"Hiraldo, Yaramil",682274,27.7,,,38.3,,,34.0,,,
"Koenig, Jared",657649,4.3,65.2,19.6,,8.7,2.2,,,,
"Seymour, Carson",693313,22.2,40.0,20.0,15.6,,2.2,,,,
"Rashi, Taylor",688497,31.1,,,31.1,,17.8,17.8,,,2.2
"Jacob, Alek",689690,51.1,8.9,,,40.0,,,,,
"Herrera, Welinton",700327,62.2,,,22.2,15.6,,,,,
"Uberstine, Tyler",700413,22.2,22.2,20.0,,11.1,,,,24.4,
"Basso, Brady",669620,37.8,6.7,37.8,,6.7,11.1,,,,
"Rutledge, Jackson",671131,,27.3,45.5,,,,27.3,,,
"Rangel, Alan",660604,38.6,,,11.4,31.8,18.2,,,,
"White, Josh",687985,51.2,,,23.3,,23.3,2.3,,,
"Andrews, Tanner",681084,37.2,,,20.9,,,41.9,,,
"Ahlstrom, Robby",695239,33.3,26.2,,23.8,2.4,14.3,,,,
"Richardson, Lyon",680689,19.5,29.3,,14.6,36.6,,,,,
"VanWey, Logan",701121,53.7,2.4,4.9,,9.8,,,,29.3,
"Rivera, Eduardo",700842,68.3,,,22.0,9.8,,,,,
"Simpson, Josh",681006,2.5,50.0,,,,10.0,,,37.5,
"Nikhazy, Doug",680951,46.2,15.4,,7.7,15.4,2.6,,,12.8,
"Devenski, Chris",606965,38.5,5.1,,,46.2,,,,10.3,
"Kriske, Brooks",621139,31.6,,18.4,,,,50.0,,,
"Frazier, Adam",624428,,,,37.8,45.9,16.2,,,,
"Hader, Josh",623352,,80.0,,20.0,,,,,,
"Kahnle, Tommy",592454,29.4,,,2.9,67.6,,,,,
"Strowd, Kade",669704,6.3,3.1,71.9,,,18.8,,,,
"Smith, Dylan",681916,34.4,12.5,,,,6.3,,,46.9,
"Velasquez, Vince",592826,41.9,3.2,19.4,12.9,6.5,16.1,,,,
"Natera Jr., Samy",696519,64.5,,,29.0,,,6.5,,,
"Hamilton, Ian",641656,32.3,9.7,,58.1,,,,,,
"Blach, Ty",621389,,63.3,26.7,,10.0,,,,,
"Saucedo, Tayler",642048,10.3,13.8,,24.1,24.1,,,,27.6,
"Castro, Kervin",665645,48.3,13.8,37.9,,,,,,,
"Way, Beck",694360,28.6,25.0,39.3,,3.6,,,,3.6,
"Stewart, Brock",592779,53.6,10.7,,,10.7,,,,25.0,
"Duarte, Daniel",650960,3.6,21.4,39.3,,21.4,,,,14.3,
"Cortes, Carlos",666126,,,,25.0,75.0,,,,,
"Estévez, Carlos",608032,55.6,,,22.2,22.2,,,,,
"Molina, Anthony",683627,42.3,,,,23.1,34.6,,,,
"Cruz, Yovanny",672442,50.0,,,50.0,,,,,,
"Trevino, Jose",624431,,,,,,,,100.0,,
"Jameson, Drey",686753,19.2,11.5,,23.1,30.8,,,,15.4,
"Ferguson, Tyler",621053,38.5,15.4,3.8,,11.5,,,,30.8,
"Mederos, Victor",682989,4.0,36.0,52.0,8.0,,,,,,
"Peralta, Sammy",671111,4.3,39.1,,17.4,13.0,,,,26.1,
"McGee, Easton",668834,27.3,9.1,22.7,,,40.9,,,,
"Marte, Yunior",628708,28.6,14.3,,57.1,,,,,,
"Zuber, Tyler",676604,28.6,,,14.3,,,,,57.1,
"Wiemer, Joey",686894,,,,80.0,5.0,15.0,,,,
"Little, Luke",681432,73.7,5.3,,,,,,,21.1,
"Williamson, Ben",810938,,,,100.0,,,,,,
"Rom, Drew",680723,70.6,11.8,,,,,11.8,,5.9,
"Weston, Cameron",687721,,41.2,,11.8,,,,,35.3,
"Brooks, Aaron",605156,29.4,41.2,,23.5,5.9,,,,,
"Del Castillo, Adrian",680728,,,,56.3,,43.8,,,,
"McDermott, Chayce",694646,31.3,,62.5,6.3,,,,,,
"Espada, Jose",664744,40.0,,,53.3,,,6.7,,,
"Cannon, Jonathan",686563,57.1,,,14.3,7.1,,,,21.4,
"Arcia, Orlando",606115,,,,42.9,,57.1,,,,
"Davitt, Duncan",701474,28.6,,,42.9,14.3,,,,14.3,
"Gamboa, Alec",687941,71.4,7.1,,21.4,,,,,,
"Ríos, Yacksel",605441,38.5,38.5,,7.7,,,15.4,,,
"Vivas, Jorbit",678391,,,,16.7,,83.3,,,,
"Hedges, Austin",595978,,,,,100.0,,,,,
"Stratton, Hunter",676702,58.3,,8.3,33.3,,,,,,
"Higgins, P.J.",664731,,,,10.0,90.0,,,,,
