"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Faucher, Calvin",676534,5.3,13.4,44.1,0.4,,16.0,,,20.7,
"Kinley, Tyler",641755,16.3,0.2,,66.4,,17.1,,,,
"Soto, Gregory",642397,21.2,35.2,,19.7,,,0.2,,23.6,
"Wells, Tyler",669330,34.1,,25.9,15.9,20.0,4.1,,,,
"Keller, Brad",641745,32.1,19.8,,21.1,13.6,,,,13.4,
"Kilian, Caleb",668873,51.0,9.3,,13.0,,26.8,,,,
"Okert, Steven",595345,27.6,5.4,,67.0,,,,,,
"Rodriguez, Bradgley",699134,22.9,26.0,9.3,,41.8,,,,,
"Myers, Tobias",668964,50.7,,12.0,15.2,,,22.2,,,
"Ferrer, José A.",678606,0.2,67.6,,14.4,17.7,,,,,
"Fuentes, Didier",800311,67.3,,,25.7,,,7.0,,,
"Barlow, Scott",605130,13.6,14.1,,2.6,,33.0,,,36.7,
"Poulin, PJ",676571,31.0,18.7,,,15.4,,,,34.9,
"Bachman, Sam",696147,,31.4,,53.8,14.7,,,,,
"Alvarado, José",621237,1.8,62.8,33.7,,,1.8,,,,
"Erceg, Lucas",668674,30.2,23.8,,31.3,14.6,,,,,
"Lovelady, Richard",663992,19.9,28.9,,7.1,,,,,44.2,
"Latz, Jacob",656641,54.5,,,23.2,14.8,7.5,,,,
"Lee, Dylan",669276,28.5,,,53.6,17.9,,,,,
"Fluharty, Mason",689254,,,52.2,,7.5,,,,40.3,
"Montgomery, Mason",682254,64.6,0.4,,13.7,4.6,16.6,,,,
"Ashcraft, Graham",668933,,,51.3,48.7,,,,,,
"Rodón, Carlos",607074,44.4,15.1,,27.6,11.8,1.1,,,,
"Ritchie, JR",702275,23.2,11.4,10.2,10.7,18.5,26.1,,,,
"Medina, Luis",665622,31.0,32.1,,14.7,12.9,9.2,,,,
"Miller, Mason",695243,41.6,0.2,,55.5,2.7,,,,,
"Lawrence, Justin",664875,16.8,42.8,,,,,,,40.4,
"Cruz, Fernando",518585,32.5,3.1,,13.2,,,51.1,,,
"Santana, Dennis",642701,34.2,9.7,5.9,35.6,14.6,,,,,
"Criswell, Cooper",681867,6.3,26.0,20.5,,26.9,,,,19.4,0.9
"Alexander, Tyler",641302,7.9,26.2,26.2,,24.8,,,,14.9,
"Sulser, Cole",642121,46.3,,12.2,,39.5,,,,2.0,
"Pallette, Peyton",688883,52.3,,,22.4,1.4,24.0,,,,
"Banks, Tanner",621383,19.9,16.7,,35.3,4.3,,,,23.8,
"Mayza, Tim",641835,2.3,63.4,,31.6,,,2.7,,,
"Weaver, Luke",596133,50.3,,14.2,0.2,35.2,,,,,
"Leiter Jr., Mark",643410,13.5,25.2,8.5,1.1,,18.1,33.5,,,
"Milner, Hoby",571948,12.2,43.1,,,17.7,,,,27.1,
"Abreu, Bryan",650556,48.7,,3.0,48.3,,,,,,
"Morillo, Juan",666661,52.7,13.0,,15.3,19.0,,,,,
"Festa, Matt",670036,41.3,6.3,7.9,,,,,,44.5,
"Boyd, Matthew",571510,50.9,0.9,,11.6,28.6,7.9,,,,
"Kerkering, Orion",689147,29.3,19.8,,,,,5.6,,45.3,
"Blackburn, Paul",621112,1.9,33.4,33.2,0.9,13.3,11.7,,,5.6,
"De Jesus, Enmanuel",646241,40.0,12.4,17.3,8.4,21.8,,,,,
"Schultz, Paxton",687606,35.8,,41.9,5.6,16.7,,,,,
"Walker, Taijuan",592836,9.9,22.6,19.8,11.8,,12.7,23.1,,,
"Weissert, Greg",669711,28.5,35.4,,7.1,8.6,2.6,,,17.8,
"Baker, Bryan",641329,49.9,,,5.0,45.1,,,,,
"Farris, Mitch",815083,44.7,,14.3,13.3,27.8,,,,,
"Graceffo, Gordon",700669,42.4,5.7,,24.8,9.3,17.9,,,,
"Domínguez, Seranthony",622554,33.8,19.5,,,,2.9,14.0,,29.8,
"Winn, Keaton",676775,24.4,23.4,,4.1,,,48.1,,,
"Soriano, George",666277,26.1,13.2,,22.2,26.6,,,,12.0,
"Klein, Will",694361,50.5,,,5.3,,17.9,,,26.3,
"Suarez, Robert",663158,46.3,6.2,16.1,,31.4,,,,,
"Rogers, Tyler",643511,,77.9,,22.1,,,,,,
"Woodruff, Brandon",605540,42.4,18.6,12.0,,21.0,4.8,,,1.2,
"Legumina, Casey",668984,41.0,20.2,,10.6,9.9,,,,18.3,
"Bender, Anthony",669622,1.9,32.9,,13.8,2.4,,,,48.9,
"Rogers, Taylor",573124,,36.2,17.2,,,,,,46.6,
"Muñoz, Andrés",662253,27.2,13.1,,55.6,4.1,,,,,
"Miller, Erik",669062,8.7,44.4,,39.3,7.5,,,,,
"Santillan, Tony",663574,64.4,,,2.0,,,,,,33.7
"Petersen, Michael",656848,57.1,,,26.8,16.1,,,,,
"Bernardino, Brennan",657514,8.8,40.7,13.9,,6.8,27.6,,,2.2,
"Silseth, Chase",681217,35.5,14.9,,,,,35.9,,13.7,
"Lynch IV, Daniel",663738,17.4,27.2,,23.5,24.0,7.8,,,,
"Ginkel, Kevin",656464,45.0,3.2,,51.7,,,,,,
"Quantrill, Cal",615698,16.3,31.7,30.0,,,4.2,17.8,,,
"Schreiber, John",670167,25.5,24.8,15.1,,10.9,,,,23.8,
"Gage, Matt",657424,31.1,6.2,,47.0,15.7,,,,,
"Miller, Bryce",682243,47.1,2.2,6.2,15.7,,4.0,19.2,,5.5,
"Suárez, Albert",544150,51.9,,20.0,,20.4,7.5,,,,0.2
"Hill, Jaden",677955,29.8,19.5,,31.3,19.5,,,,,
"Maton, Phil",664208,,12.0,42.0,,,28.7,,,17.3,
"Woodford, Jake",663765,1.3,29.0,38.0,1.3,15.3,,,,15.3,
"Kelly, Kevin",687330,4.5,60.8,0.8,,21.5,,,,12.5,
"Vesia, Alex",681911,53.4,,,33.1,13.5,,,,,
"Waldron, Matt",663362,20.3,17.3,19.3,,,,,27.6,15.5,
"Dreyer, Jack",676263,49.0,,,40.5,,10.6,,,,
