player_id,name,throws
670090,"Mills, Wyatt",R
656546,"Hoffman, Jeff",R
669711,"Weissert, Greg",R
615698,"Quantrill, Cal",R
670970,"Morejon, Adrian",L
670245,"Watson, Ryan",R
699151,"Paez, Jedixson",R
670280,"Bednar, David",R
676684,"Vest, Will",R
642207,"Williams, Devin",R
606965,"Devenski, Chris",R
623474,"Herget, Jimmy",R
642232,"Yarbrough, Ryan",L
820862,"Fermin, José",R
687721,"Weston, Cameron",R
594580,"Moll, Sam",L
676617,"O'Brien, Riley",R
656288,"Canning, Griffin",R
668674,"Erceg, Lucas",R
607455,"Banda, Anthony",L
664076,"Cleavinger, Garrett",L
806188,"Gibson, Cade",L
681035,"Scott, Christian",R
669270,"Kuhnel, Joel",R
701719,"Samaniego, Tyler",L
434378,"Verlander, Justin",R
670990,"Ramírez, Yohan",R
669620,"Basso, Brady",L
544150,"Suárez, Albert",R
683618,"Henriquez, Edgardo",R
689225,"Brieske, Beau",R
669276,"Lee, Dylan",L
571510,"Boyd, Matthew",L
676879,"Ashby, Aaron",L
542888,"Armstrong, Shawn",R
621053,"Ferguson, Tyler",R
681895,"Sisk, Evan",L
666157,"Lodolo, Nick",L
693313,"Seymour, Carson",R
665665,"Sanmartin, Reiver",L
681217,"Silseth, Chase",R
676395,"Garcia, Robert",L
670167,"Schreiber, John",R
687606,"Schultz, Paxton",R
702193,"Morris, Andrew",R
689296,"Nunez, Anthony",R
621242,"Díaz, Edwin",R
684049,"Bidois, Brandan",R
666619,"Santos, Gregory",R
681402,"Varland, Gus",R
687209,"Maxwell, Zach",R
670036,"Festa, Matt",R
686993,"Sterner, Justin",R
677955,"Hill, Jaden",R
695001,"Santa, Alimber",R
664141,"Brubaker, JT",R
669456,"Bieber, Shane",R
687931,"Whisenhunt, Carson",L
683352,"Bratt, Mitch",L
669438,"Englert, Mason",R
669298,"Shook, TJ",R
663423,"Thornton, Trent",R
573204,"Thielbar, Caleb",L
672021,"Cerantola, Eric",R
680767,"Vodnik, Victor",R
688297,"Roycroft, Chris",R
676254,"Walker, Ryan",R
804267,"Thornton, Zach",L
664353,"Urquidy, José",R
595345,"Okert, Steven",L
663372,"Feltner, Ryan",R
640448,"Finnegan, Kyle",R
676130,"Buttó, José",R
684320,"Rodríguez, Yariel",R
656848,"Petersen, Michael",R
642048,"Saucedo, Tayler",L
682608,"Gray, Peyton",R
673540,"Senga, Kodai",R
689254,"Fluharty, Mason",L
689441,"Crow, Coleman",R
678606,"Ferrer, José A.",L
642100,"Speier, Gabe",L
552640,"Kittredge, Andrew",R
656686,"Martin, Corbin",R
668390,"Winn, Cole",R
668834,"McGee, Easton",R
694037,"Palencia, Daniel",R
641401,"Brogdon, Connor",R
681343,"Smith, Shane",R
671382,"Foster, Cameron",R
683003,"Jones, Jared",R
681916,"Smith, Dylan",R
682997,"Callihan, Tyler",R
676702,"Stratton, Hunter",R
641585,"France, J.P.",R
683769,"Gaddis, Hunter",R
671109,"Eder, Jake",L
571948,"Milner, Hoby",L
696270,"Johnson, Ryan",R
682254,"Montgomery, Mason",L
674444,"Cruz, Steven",R
683155,"Estes, Joey",R
680604,"Castaño, Blas",R
669947,"Scholtens, Jesse",R
681676,"Fernandez, Ryan",R
663878,"Pearson, Nate",R
660604,"Rangel, Alan",R
657571,"Ferguson, Caleb",L
682769,"Castellano, Eiberson",R
702021,"Dion, Will",L
621383,"Banks, Tanner",L
696062,"Dotel, Wilber",R
605452,"Ross, Joe",R
621107,"Eflin, Zach",R
666808,"Doval, Camilo",R
622608,"Senzatela, Antonio",R
621097,"Waguespack, Jacob",R
656641,"Latz, Jacob",L
681006,"Simpson, Josh",L
693312,"Nicolas, Kyle",R
519141,"Pomeranz, Drew",L
681252,"Anderson, Jack",R
